R,G,B,label
13,26,23,green
3,35,38,green
23,83,106,green
12,34,39,green
29,88,103,green
14,21,17,green
43,92,109,green
32,82,95,green
26,67,79,green
28,98,119,green
36,93,110,green
38,102,119,green
23,53,55,green
30,62,69,green
23,24,13,green
12,54,59,green
5,44,46,green
48,101,120,green
58,112,129,green
39,75,91,green
29,50,52,green
17,62,75,green
67,129,148,green
15,47,47,green
19,75,83,green
17,81,97,green
21,84,103,green
15,51,57,green
35,90,108,green
8,8,0,black
2,1,0,black
7,6,0,black
69,92,109,black
39,48,56,black
6,6,1,black
5,2,0,black
3,1,0,black
9,7,0,black
15,15,13,black
6,1,0,black
7,8,0,black
13,14,8,black
13,14,8,black
6,5,0,black
0,0,0,black
14,14,11,black
20,22,17,black
4,0,0,black
7,3,0,black
1,0,0,black
13,13,10,black
13,13,11,black
8,8,0,black
4,2,0,black
3,0,0,black
5,4,0,black
7,8,3,black
23,25,24,black
10,12,4,black
9,7,0,black
158,189,208,white
224,255,255,white
147,174,187,white
238,255,255,white
243,255,255,white
150,177,188,white
142,170,183,white
159,191,205,white
205,238,255,white
215,243,255,white
232,255,255,white
145,165,179,white
131,156,171,white
197,230,255,white
201,233,253,white
146,176,189,white
153,174,184,white
182,208,229,white
148,170,184,white
120,145,155,white
221,253,255,white
233,255,255,white
145,162,171,white
255,255,255,white
139,166,178,white
140,160,176,white
154,190,207,white
237,255,255,white
243,255,255,white
174,202,218,white
186,215,233,gray
173,201,216,gray
158,182,198,gray
153,176,194,gray
106,121,128,gray
95,110,114,gray
122,135,149,gray
113,126,137,gray
94,103,109,gray
94,100,107,gray
153,179,198,gray
100,114,122,gray
162,191,207,gray
62,68,70,gray
83,94,97,gray
72,83,88,gray
92,105,112,gray
99,111,116,gray
164,180,195,gray
181,209,225,gray
132,151,162,gray
117,131,140,gray
84,91,98,gray
98,101,109,gray
102,117,121,gray
142,161,177,gray
114,132,142,gray
90,103,110,gray
95,111,117,gray
163,190,206,gray
